Month,TWP90 (%),Outstanding Pinjaman (miliar RP),BI-7Day-RR,Inflasi,PDB (miliar Rp),Pertumbuhan Outstanding (YoY% atau MoM%),Indeks Keyakinan Konsumen (IKK),Nilai Tukar Rupiah terhadap USD
2022-01-31,0.025178308599401844,31214904548182,0.035,0.0218,4508663.0,0.9422220361688638,120,14381
2022-02-28,0.02346090455824834,34635268361821,0.035,0.0206,4631161.112359551,1.042637051067329,113,14371
2022-03-31,0.02317789597431874,36622712381020,0.035,0.0264,4766784.02247191,0.9236033417069621,111,14349
2022-04-30,0.023065643857731577,38680815143512,0.035,0.0347,4898032.0,0.876615950615129,113,14418
2022-05-31,0.022838161443846206,40170047427097,0.035,0.0355,4954956.0869565215,0.8470958490888076,129,14544
2022-06-30,0.025253639507512582,44340261781550,0.035,0.0435,5010043.9130434785,0.896674002559009,128,14848
2022-07-31,0.02665960465235573,45729926957573,0.035,0.0494,5066968.0,0.8883886286369969,123,14958
2022-08-31,0.02885498950310561,47230205446525,0.0375,0.0469,5083084.293478261,0.8097344174302143,125,14875
2022-09-30,0.030707622875293383,48738687089588,0.0425,0.0595,5098680.706521739,0.77334890678315,117,15247
2022-10-31,0.02896296294714462,49335054063689,0.0475,0.0571,5114797.0,0.7679582054610854,120,15542
2022-11-30,0.028332705174675454,50296758532106,0.0525,0.0542,5100677.434782608,0.726814666405911,119,15737
2022-12-31,0.02779752587225559,51122844005170,0.055,0.0551,5086087.217391305,0.7109190072283007,120,15731
2023-01-31,0.02753471985234679,51026482229644,0.0575,0.0528,5071497.0,0.6346832696823305,123,14979
2023-02-28,0.026866022771735998,50088897654204,0.0575,0.0547,5119252.101123596,0.44618188405370574,122,15274
2023-03-31,0.028083219350971467,51019817666326,0.0575,0.0497,5172123.820224719,0.3931195793342551,123,15062
2023-04-30,0.02819341216249094,50531954889391,0.0575,0.0433,5223290.0,0.306382885208323,126,14751
2023-05-31,0.03359506767784248,51462342441128,0.0575,0.04,5247420.467391305,0.28111231470475434,128,14969
2023-06-30,0.032911546699106564,52701149743202,0.0575,0.0352,5270772.532608695,0.18856198916558875,127,15026
2023-07-31,0.03471974948644707,55977239661267,0.0575,0.0308,5294903.0,0.22408329480169917,124,15083
2023-08-31,0.028806422732007397,53115861001682,0.0575,0.0327,5297516.097826087,0.12461634455138797,125,15239
2023-09-30,0.02821674067084834,55697248714862,0.0575,0.0228,5300044.902173913,0.1427728574732279,122,15526
2023-10-31,0.028854382447347615,58049899093542,0.06,0.0256,5302658.0,0.1766461027609818,124,15916
2023-11-30,0.028052256636967865,59381729739517,0.06,0.0286,5298066.369565218,0.18062736988531333,124,15384
2023-12-31,0.029304075844239552,59644480512310,0.06,0.0261,5293321.684782608,0.16668940613472552,124,15416
2024-01-31,0.029521278379125215,60416940540393,0.06,0.0257,5288577.0,0.18403107367831803,125,15796
2024-02-29,0.029460708101422872,61097631517929,0.06,0.0275,5368491.977777778,0.21978391179070056,123,15673
2024-03-31,0.029417113120258076,62166430403724,0.06,0.0305,5453918.333333333,0.21847613823902326,124,15853
2024-04-30,0.027931034464164006,62739288430843,0.0625,0.03,5536589.0,0.24157651466626487,128,16249
2024-05-31,0.029137258448831416,64556157500516,0.0625,0.0284,5571052.9130434785,0.2544348826400021,125,16253
2024-06-30,0.027863169771754404,66788531809704,0.0625,0.0251,5604405.0869565215,0.26730692091436115,123,16421
2024-07-31,0.025305873593465575,69393360004985,0.0625,0.0213,5638869.0,0.23967098815344368,123,16320
2024-08-31,0.02375644218361054,72033441030896,0.0625,0.0212,5651019.989130435,0.35615689310985554,124,15409
2024-09-30,0.023751093887292896,74484239729669,0.06,0.0184,5662779.010869565,0.3373055482683827,124,15138
2024-10-31,0.02366843359735509,75019479116667,0.06,0.0171,5674930.0,0.29232746805950693,121,15732
2024-11-30,0.025170573630898595,75604120890711,0.06,0.0155,5674930.0,0.27318825541719477,126,15864
2024-12-31,0.02604108235049351,77024241781294,0.06,0.0157,5674930.0,0.2913892638464174,128,16162
2025-01-31,0.025206871581160827,78504584980667,0.0575,0.0076,5665947.0,0.29938034396463903,127,16259
2025-02-28,0.02777971803567158,81173681372535,0.0575,-0.0009,5665947.0,0.3285896581558111,126,16431
2025-03-31,0.02772836459107682,79965981008651,0.0575,0.0103,5665947.0,0.2863209370287528,121,16588
2025-04-30,0.029296567329867896,80881561186837,0.0575,0.0195,5947527.0,0.289169246412351,122,16787
2025-05-31,0.0319015312599333,82530269925780,0.055,0.016,5947527.0,0.2784259956166123,118,16255
2025-06-30,0.028474610822784293,83468007827248,0.055,0.0187,5947527.0,0.24973562924047638,118,16233
2025-07-31,0.027140908903441154,84541571116363,0.0525,0.0237,6060392.0,0.21829482115132917,118,16387
2025-08-31,0.025723566158117255,87485025239934,0.05,0.0231,6060392.0,0.21450570718134418,117,16356
2025-09-30,0.0282,90907742286059,0.0475,0.0265,6060392.0,0.22049634413933736,115,16680
2025-10-31,0.0276,92832389239213,0.0475,0.0286,6147239.0,0.23744379902777177,121,16640
2025-11-30,0.0433,94817558274341,0.0475,0.0272,6147239.0,0.2541321446142314,124,16644
2025-12-31,0.0432,96617431248566,0.0475,0.0292,6147239.0,0.2543769210076194,124,16782
